GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
smart.home.project,default,WaterHeater,0,8,0,0,0,3,0,1,0,1
smart.home.project,default,ScheduleNotFoundException,0,4,0,0,0,2,0,1,0,1
smart.home.project,default,SmartHome,7,176,2,10,3,38,2,12,0,8
smart.home.project,default,Appliance,0,96,1,7,0,32,1,15,0,12
smart.home.project,default,ApplianceType,0,48,0,0,0,4,0,4,0,4
smart.home.project,default,BadScheduleException,0,4,0,0,0,2,0,1,0,1
smart.home.project,default,Event,0,133,1,17,0,39,1,14,0,6
smart.home.project,default,AirConditioner,0,5,0,0,0,2,0,1,0,1
smart.home.project,default,SmartHome.new Runnable() {...},1,100,0,6,0,15,0,5,0,2
smart.home.project,default,CookingOven,0,5,0,0,0,2,0,1,0,1
smart.home.project,default,Controller,21,13,0,0,5,6,1,1,1,1
